ID;type;locale;fr_FR;category;min_value;max_value;step_value;Option1;Option2;Option3;Option4;Option5;Option6;Option7;Option8;Option9;Option10;;
1;STEP_LABELED;en_US;How often do you have trouble making decisions?;5;;;;Never;Almost never;Sometimes;Often;Very often;Always;;;;;;
1;STEP_LABELED;es_ES;¿Con qué frecuencia te cuesta tomar decisiones?;5;;;;Nunca;Casi nunca;A veces;A menudo;Muy a menudo;Siempre;;;;;;
1;STEP_LABELED;fr_FR;À quelle fréquence avez-vous du mal à prendre des décisions?;5;;;;Jamais;Presque Jamais;Parfois;Souvent;Très souvent;Toujours;;;;;;
2;YES_NO_IDK;en_US;Have you ever caused damage with your car without leaving your contact details?;8;;;;;;;;;;;;;;;
2;YES_NO_IDK;es_ES;¿Alguna vez has causado daños con el coche sin dejar tus datos?;8;;;;;;;;;;;;;;;
2;YES_NO_IDK;fr_FR;Avez-vous déjà causé des dégâts en voiture sans laisser vos coordonnées ?;8;;;;;;;;;;;;;;;
3;YES_NO_IDK;en_US;Have you ever been truly ashamed of a family member?;7;;;;;;;;;;;;;;;
3;YES_NO_IDK;es_ES;¿Alguna vez te has avergonzado de algún miembro de tu familia?;7;;;;;;;;;;;;;;;
3;YES_NO_IDK;fr_FR;Avez-vous déjà vraiment eu honte d'un membre de la famille ?;7;;;;;;;;;;;;;;;
4;STEP_LABELED;en_US;How often do you talk about your intimate life with your best friends?;11;;;;Never;Almost never;Sometimes;Often;Very often;Always;;;;;;
4;STEP_LABELED;es_ES;¿Con qué frecuencia hablas  de tu vida íntima con tus mejores amigos?;11;;;;Nunca;Casi nunca;A veces;A menudo;Muy a menudo;Siempre;;;;;;
4;STEP_LABELED;fr_FR;À quelle fréquence parlez-vous  de votre vie intime avec vos meilleurs amis?;11;;;;Jamais;Presque Jamais;Parfois;Souvent;Très souvent;Toujours;;;;;;
5;YES_NO_IDK;en_US;Do you hate anyone?;7;;;;;;;;;;;;;;;
5;YES_NO_IDK;es_ES;¿Odias a alguien?;7;;;;;;;;;;;;;;;
5;YES_NO_IDK;fr_FR;Détestez-vous quelqu'un?;7;;;;;;;;;;;;;;;
6;YES_NO_IDK;en_US;Have you ever kissed several people with tongue in the same evening?;4,5,7;;;;;;;;;;;;;;;
6;YES_NO_IDK;es_ES;¿Alguna vez has besado con lengua a varias personas en una misma noche? ;4,5,7;;;;;;;;;;;;;;;
6;YES_NO_IDK;fr_FR;Avez-vous déjà embrassé avec la langue plusieurs personnes dans une même soirée? ;4,5,7;;;;;;;;;;;;;;;
7;STEP_LABELED;en_US;Do you bite your nails?;2;;;;Never;Almost never;Sometimes;Often;Very often;Always;;;;;;
7;STEP_LABELED;es_ES;¿Tienes la costumbre de morderte las uñas?;2;;;;Nunca;Casi nunca;A veces;A menudo;Muy a menudo;Siempre;;;;;;
7;STEP_LABELED;fr_FR;Avez-vous l'habitude de vous ronger les ongles ?;2;;;;Jamais;Presque Jamais;Parfois;Souvent;Très souvent;Toujours;;;;;;
8;YES_NO_IDK;en_US;Have you ever had a fit of laughter while having sex?;4;;;;;;;;;;;;;;;
8;YES_NO_IDK;es_ES;¿Alguna vez te has reído a carcajadas mientras hacías el amor?;4;;;;;;;;;;;;;;;
8;YES_NO_IDK;fr_FR;Avez-vous déjà eu un fou-rire en faisant l'amour ?;4;;;;;;;;;;;;;;;
9;STEP_LABELED;en_US;Do you ever park in spaces reserved for people with disabilities?;11;;;;Never;Almost never;Sometimes;Often;Very often;Always;;;;;;
9;STEP_LABELED;es_ES;¿Alguna vez aparcas en plazas reservadas para discapacitados?;11;;;;Nunca;Casi nunca;A veces;A menudo;Muy a menudo;Siempre;;;;;;
9;STEP_LABELED;fr_FR;Vous arrive t-il de vous garer sur les places réservées aux handicapés ?;11;;;;Jamais;Presque Jamais;Parfois;Souvent;Très souvent;Toujours;;;;;;
10;STEP_LABELED;en_US;In certain circumstances, military intervention in a country in crisis may be the best solution.;2,11;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
10;STEP_LABELED;es_ES;En determinadas circunstancias, la intervención militar en un país en crisis puede ser la mejor solución.;2,11;;;;En desacuerdo;Algo en desacuerdo;Neutral;Algo de acuerdo;Completamente de acuerdo;;;;;;;
10;STEP_LABELED;fr_FR;Dans certaines circonstances, l'intervention militaire dans un pays en crise peut-elle être la meilleure solution.;2,11;;;;Pas d'accord;Pas trop d'accord;Neutre;Plutôt d'accord;Complètement d'accord;;;;;;;
11;YES_NO_IDK;en_US;Have you ever had an affair with a married person?;4;;;;;;;;;;;;;;;
11;YES_NO_IDK;es_ES;¿Alguna vez has tenido una aventura con una persona casada?;4;;;;;;;;;;;;;;;
11;YES_NO_IDK;fr_FR;Avez-vous déjà eu une liaison avec une personne mariée ?;4;;;;;;;;;;;;;;;
12;YES_NO_IDK;en_US;Have you ever lied on your resume?;1,8,10;;;;;;;;;;;;;;;
12;YES_NO_IDK;es_ES;¿Alguna vez has mentido en tu currículum?;1,8,10;;;;;;;;;;;;;;;
12;YES_NO_IDK;fr_FR;Avez-vous déjà menti sur votre CV ?;1,8,10;;;;;;;;;;;;;;;
13;YES_NO_IDK;en_US;Have you ever broken your word?;7,9;;;;;;;;;;;;;;;
13;YES_NO_IDK;es_ES;¿Alguna vez has incumplido tu palabra?;7,9;;;;;;;;;;;;;;;
13;YES_NO_IDK;fr_FR;Avez-vous déjà manqué à votre parole ?;7,9;;;;;;;;;;;;;;;
14;YES_NO_IDK;en_US;Is money a source of conflict in your relationship?;1,4,10;;;;;;;;;;;;;;;
14;YES_NO_IDK;es_ES;¿El dinero es motivo de conflicto en tu pareja?;1,4,10;;;;;;;;;;;;;;;
14;YES_NO_IDK;fr_FR;L'argent est-il source de conflit dans votre couple ?;1,4,10;;;;;;;;;;;;;;;
15;YES_NO_IDK;en_US;Have you ever knowingly damaged someone else's property?;5;;;;;;;;;;;;;;;
15;YES_NO_IDK;es_ES;¿Alguna vez has dañado a sabiendas la propiedad ajena?;5;;;;;;;;;;;;;;;
15;YES_NO_IDK;fr_FR;Avez-vous déjà abimé le bien d'autrui sciemment ?;5;;;;;;;;;;;;;;;
16;YES_NO_IDK;en_US;Have you ever been the victim of physical assault?;7,8;;;;;;;;;;;;;;;
16;YES_NO_IDK;es_ES;¿Alguna vez has sido víctima de una agresión física?;7,8;;;;;;;;;;;;;;;
16;YES_NO_IDK;fr_FR;Avez-vous déjà été victime d'une agression physique?;7,8;;;;;;;;;;;;;;;
17;YES_NO_IDK;en_US;Have you ever had a fit of laughter while having sex?;4;;;;;;;;;;;;;;;
17;YES_NO_IDK;es_ES;¿Alguna vez te has reído a carcajadas mientras hacías el amor?;4;;;;;;;;;;;;;;;
17;YES_NO_IDK;fr_FR;Avez-vous déjà eu un fou-rire en faisant l'amour ?;4;;;;;;;;;;;;;;;
18;YES_NO_IDK;en_US;Have you ever faked an orgasm?;4;;;;;;;;;;;;;;;
18;YES_NO_IDK;es_ES;¿Alguna vez has fingido un orgasmo?;4;;;;;;;;;;;;;;;
18;YES_NO_IDK;fr_FR;Avez-vous déjà simulé un orgasme ?;4;;;;;;;;;;;;;;;
19;YES_NO_IDK;en_US;Do you have a specific goal in life?;8,9;;;;;;;;;;;;;;;
19;YES_NO_IDK;es_ES;¿Persigues un objetivo concreto en la vida?;8,9;;;;;;;;;;;;;;;
19;YES_NO_IDK;fr_FR;Est-ce que vous poursuivez un but bien précis dans la vie?;8,9;;;;;;;;;;;;;;;
20;YES_NO_IDK;en_US;Have you ever repeated a year at school?;8;;;;;;;;;;;;;;;
20;YES_NO_IDK;es_ES;¿Alguna vez has repetido curso en el colegio?;8;;;;;;;;;;;;;;;
20;YES_NO_IDK;fr_FR;Avez-vous redoublé à l'école ?;8;;;;;;;;;;;;;;;
21;YES_NO_IDK;en_US;Has one of your partners ever admitted to cheating on you?;4;;;;;;;;;;;;;;;
21;YES_NO_IDK;es_ES;¿Alguna vez alguno de tus parejas te ha confesado que te ha engañado?;4;;;;;;;;;;;;;;;
21;YES_NO_IDK;fr_FR;Un de vos partenaires vous a-t-il déjà avoué vous avoir trompé ?;4;;;;;;;;;;;;;;;
22;YES_NO_IDK;en_US;Have you ever felt an unjustified fear of death?;9;;;;;;;;;;;;;;;
22;YES_NO_IDK;es_ES;¿Alguna vez has sentido un miedo injustificado ante la muerte?;9;;;;;;;;;;;;;;;
22;YES_NO_IDK;fr_FR;Avez-vous déjà ressenti une peur injustifiée devant la mort ?;9;;;;;;;;;;;;;;;
23;STEP_LABELED;en_US;Reality TV should disappear from our screens.;9;;;;Disagree;Somewhat disagree;Neutral;Somewhat agree;Completely agree;;;;;;;
